Date,CashValue,AssetValue,TotalValue
1982-01-04,30000.0,0.0,30000.0
1982-01-05,222.27599999999984,28837.332000000002,29059.608
1982-01-06,222.27599999999984,28409.58,28631.856
1982-01-07,222.27599999999984,28409.58,28631.856
1982-01-08,222.27599999999984,29379.876,29602.152000000002
1982-01-11,222.27599999999984,28601.82,28824.095999999998
1982-01-12,222.27599999999984,28503.564000000002,28725.840000000004
1982-01-13,222.27599999999984,28203.972,28426.248
1982-01-14,222.27599999999984,28366.308,28588.584000000003
1982-01-15,222.27599999999984,28858.140000000003,29080.416000000005
1982-01-18,222.27599999999984,28794.06,29016.336000000003
1982-01-19,222.27599999999984,28473.660000000003,28695.936
1982-01-20,222.27599999999984,29016.204,29238.480000000003
1982-01-21,222.27599999999984,29464.764000000003,29687.04
1982-01-22,222.27599999999984,29464.764000000003,29687.04
1982-01-25,222.27599999999984,29174.268000000004,29396.544
1982-01-26,222.27599999999984,28888.044,29110.32
1982-01-27,222.27599999999984,29080.284,29302.559999999998
1982-01-28,222.27599999999984,30242.82,30465.095999999998
1982-01-29,222.27599999999984,30956.796000000002,31179.072
1982-02-01,222.27599999999984,31700.676,31922.951999999997
1982-02-02,222.27599999999984,32021.076,32243.352
1982-02-03,222.27599999999984,32011.98,32234.256
1982-02-04,222.27599999999984,32790.036,33012.312
1982-02-05,222.27599999999984,32627.700000000004,32849.976
1982-02-08,222.27599999999984,31593.324,31815.6
1982-02-09,222.27599999999984,31341.276,31563.552000000003
1982-02-10,222.27599999999984,31520.148,31742.424
1982-02-11,222.27599999999984,31456.068,31678.343999999997
1982-02-12,222.27599999999984,31657.404,31879.68
1982-02-16,31879.68,0.0,31879.68
1982-02-17,1468.2930000000015,30438.343999999997,31906.637
1982-02-18,1468.2930000000015,30465.301,31933.594
1982-02-19,1468.2930000000015,30265.049,31733.342
1982-02-22,1468.2930000000015,29487.147,30955.440000000002
1982-02-23,1468.2930000000015,29375.468,30843.761000000002
1982-02-24,1468.2930000000015,29533.989,31002.282000000003
1982-02-25,1468.2930000000015,29633.485,31101.778000000002
1982-02-26,1468.2930000000015,29075.72,30544.013000000003
1982-03-01,1468.2930000000015,29017.955,30486.248000000003
1982-03-02,1468.2930000000015,29202.173000000003,30670.466000000004
1982-03-03,1468.2930000000015,29028.877999999997,30497.171
1982-03-04,1468.2930000000015,28213.095999999998,29681.389
1982-03-05,1468.2930000000015,27577.681,29045.974000000002
1982-03-08,1468.2930000000015,27023.767,28492.06
1982-03-09,1468.2930000000015,28128.374000000003,29596.667000000005
1982-03-10,1468.2930000000015,28155.331,29623.624
1982-03-11,1468.2930000000015,28155.331,29623.624
1982-03-12,1468.2930000000015,27655.331,29123.624
1982-03-15,1468.2930000000015,28059.686,29527.979000000003
1982-03-16,1468.2930000000015,28259.938000000002,29728.231000000003
1982-03-17,1468.2930000000015,29075.72,30544.013000000003
1982-03-18,1468.2930000000015,28759.938000000002,30228.231000000003
1982-03-19,1468.2930000000015,28844.66,30312.953
1982-03-22,1468.2930000000015,29433.233,30901.526
1982-03-23,1468.2930000000015,29433.233,30901.526
1982-03-24,1468.2930000000015,29375.468,30843.761000000002
1982-03-25,1468.2930000000015,29875.468,31343.761000000002
1982-03-26,1468.2930000000015,29086.643,30554.936
1982-03-29,1468.2930000000015,29471.113,30939.406000000003
1982-03-30,30939.406000000003,0.0,30939.406000000003
1982-03-31,650.2960000000021,30414.81,31065.106000000003
1982-04-01,650.2960000000021,31382.172,32032.468
1982-04-02,650.2960000000021,31600.052000000003,32250.348000000005
1982-04-05,650.2960000000021,31382.172,32032.468
1982-04-06,650.2960000000021,30976.27,31626.566000000003
1982-04-07,650.2960000000021,31261.190000000002,31911.486000000004
1982-04-08,650.2960000000021,31729.942000000003,32380.238000000005
1982-04-12,650.2960000000021,32127.398,32777.694
1982-04-13,650.2960000000021,32035.218,32685.514000000003
1982-04-14,650.2960000000021,32315.948000000004,32966.244000000006
1982-04-15,650.2960000000021,33195.31999999999,33845.615999999995
1982-04-16,650.2960000000021,33631.08,34281.376000000004
1982-04-19,650.2960000000021,33476.049999999996,34126.346
1982-04-20,650.2960000000021,33413.2,34063.496
1982-04-21,650.2960000000021,33974.66,34624.956000000006
1982-04-22,650.2960000000021,34476.932,35127.228
1982-04-23,650.2960000000021,34912.164000000004,35562.46000000001
1982-04-26,650.2960000000021,34786.46399999999,35436.759999999995
1982-04-27,650.2960000000021,34476.403999999995,35126.7
1982-04-28,650.2960000000021,33819.102,34469.398
1982-04-29,650.2960000000021,34287.854,34938.15
1982-04-30,650.2960000000021,34442.884,35093.18
1982-05-03,650.2960000000021,34849.314,35499.61
1982-05-04,650.2960000000021,35289.263999999996,35939.56
1982-05-05,650.2960000000021,35037.864,35688.16
1982-05-06,650.2960000000021,34945.683999999994,35595.979999999996
1982-05-07,650.2960000000021,34945.683999999994,35595.979999999996
1982-05-10,650.2960000000021,34602.104,35252.4
1982-05-11,650.2960000000021,34602.104,35252.4
1982-05-12,34750.128,0.0,34750.128
1982-05-13,5075.682999999999,29107.144999999997,34182.827999999994
1982-05-14,5075.682999999999,28503.704999999998,33579.388
1982-05-17,5075.682999999999,28617.165,33692.848
1982-05-18,5075.682999999999,28236.863,33312.546
1982-05-19,5075.682999999999,28013.725,33089.407999999996
1982-05-20,5075.682999999999,28473.449,33549.132
1982-05-21,5075.682999999999,28420.500999999997,33496.183999999994
1982-05-24,5075.682999999999,28560.434999999998,33636.117999999995
1982-05-25,5075.682999999999,28363.771,33439.454
1982-05-26,5075.682999999999,28023.390999999996,33099.07399999999
1982-05-27,5075.682999999999,27760.331,32836.013999999996
1982-05-28,5075.682999999999,28250.310999999998,33325.994
1982-06-01,5075.682999999999,27769.997,32845.68
1982-06-02,5075.682999999999,27843.535,32919.218
1982-06-03,5075.682999999999,28333.515,33409.198
1982-06-04,5075.682999999999,27940.186999999998,33015.869999999995
1982-06-07,5075.682999999999,27926.739,33002.422
1982-06-08,5075.682999999999,27843.535,32919.218
1982-06-09,5075.682999999999,27956.995000000003,33032.678
1982-06-10,5075.682999999999,28503.704999999998,33579.388
1982-06-11,5075.682999999999,28984.019,34059.702
1982-06-14,5075.682999999999,28700.369,33776.051999999996
1982-06-15,5075.682999999999,28870.559,33946.242
1982-06-16,5075.682999999999,28757.099,33832.782
1982-06-17,5075.682999999999,28757.099,33832.782
1982-06-18,5075.682999999999,28900.815,33976.498
1982-06-21,5075.682999999999,29040.748999999996,34116.43199999999
