Date,CashValue,AssetValue,TotalValue
1982-01-04,30000.0,0.0,30000.0
1982-01-05,167.92799999999988,29269.915999999997,29437.843999999997
1982-01-06,167.92799999999988,28967.679000000004,29135.607000000004
1982-01-07,167.92799999999988,28739.61,28907.538
1982-01-08,167.92799999999988,29206.703,29374.631
1982-01-11,167.92799999999988,28514.111,28682.039
1982-01-12,167.92799999999988,28378.98,28546.908
1982-01-13,167.92799999999988,27952.966,28120.894
1982-01-14,167.92799999999988,27985.022,28152.95
1982-01-15,167.92799999999988,28312.894,28480.822
1982-01-18,167.92799999999988,28477.269,28645.197
1982-01-19,167.92799999999988,28214.805999999997,28382.733999999997
1982-01-20,167.92799999999988,28320.338,28488.266
1982-01-21,167.92799999999988,28464.172000000002,28632.100000000002
1982-01-22,167.92799999999988,28407.735,28575.663
1982-01-25,167.92799999999988,28177.843,28345.771
1982-01-26,167.92799999999988,28010.276,28178.204
1982-01-27,167.92799999999988,28062.992000000002,28230.920000000002
1982-01-28,167.92799999999988,29093.157,29261.085
1982-01-29,167.92799999999988,29888.150999999998,30056.078999999998
1982-02-01,167.92799999999988,29954.17,30122.097999999998
1982-02-02,167.92799999999988,30082.345,30250.273
1982-02-03,167.92799999999988,30077.672,30245.6
1982-02-04,167.92799999999988,30360.686999999998,30528.614999999998
1982-02-05,167.92799999999988,30885.850000000002,31053.778000000002
1982-02-08,167.92799999999988,30035.123999999996,30203.051999999996
1982-02-09,167.92799999999988,29405.892,29573.82
1982-02-10,167.92799999999988,29676.391,29844.319
1982-02-11,167.92799999999988,29788.484,29956.412
1982-02-12,167.92799999999988,29925.784,30093.712
1982-02-16,29843.214,0.0,29843.214
1982-02-17,5532.196000000002,24304.074,29836.270000000004
1982-02-18,5532.196000000002,24463.226000000002,29995.422000000006
1982-02-19,5532.196000000002,24283.606,29815.802000000003
1982-02-22,5532.196000000002,23695.34,29227.536
1982-02-23,5532.196000000002,23699.512000000002,29231.708000000006
1982-02-24,5532.196000000002,23917.916,29450.112
1982-02-25,5532.196000000002,23869.836,29402.032
1982-02-26,5532.196000000002,23573.446,29105.642
1982-03-01,5532.196000000002,23672.468,29204.664000000004
1982-03-02,5532.196000000002,23630.212000000003,29162.408000000003
1982-03-03,5532.196000000002,23576.13,29108.326
1982-03-04,5532.196000000002,23003.730000000003,28535.926000000007
1982-03-05,5532.196000000002,22440.006,27972.202000000005
1982-03-08,5532.196000000002,21943.024,27475.22
1982-03-09,5532.196000000002,22632.211999999996,28164.407999999996
1982-03-10,5532.196000000002,22491.525999999998,28023.722
1982-03-11,5532.196000000002,22491.525999999998,28023.722
1982-03-12,5532.196000000002,22175.550000000003,27707.746000000006
1982-03-15,5532.196000000002,22488.715999999997,28020.911999999997
1982-03-16,5532.196000000002,22490.620000000003,28022.816000000006
1982-03-17,5532.196000000002,22834.623999999996,28366.82
1982-03-18,5532.196000000002,22905.59,28437.786
1982-03-19,5532.196000000002,23024.338000000003,28556.534000000007
1982-03-22,5532.196000000002,23445.426,28977.622000000003
1982-03-23,5532.196000000002,23476.534,29008.730000000003
1982-03-24,5532.196000000002,23516.938000000002,29049.134000000005
1982-03-25,5532.196000000002,23777.390000000003,29309.586000000003
1982-03-26,5532.196000000002,23377.022,28909.218
1982-03-29,5532.196000000002,23607.710000000003,29139.906000000003
1982-03-30,29246.138,0.0,29246.138
1982-03-31,5153.475999999999,24137.456000000002,29290.932
1982-04-01,5153.475999999999,24623.432,29776.908
1982-04-02,5153.475999999999,24865.212,30018.688
1982-04-05,5153.475999999999,24820.424,29973.899999999998
1982-04-06,5153.475999999999,24690.78,29844.255999999998
1982-04-07,5153.475999999999,24759.358,29912.834
1982-04-08,5153.475999999999,25037.642,30191.118
1982-04-12,5153.475999999999,25460.758,30614.234
1982-04-13,5153.475999999999,25330.344,30483.82
1982-04-14,5153.475999999999,25362.828,30516.304
1982-04-15,5153.475999999999,25738.788,30892.264
1982-04-16,5153.475999999999,25977.203999999998,31130.679999999997
1982-04-19,5153.475999999999,25890.983999999997,31044.459999999995
1982-04-20,5153.475999999999,25700.244,30853.719999999998
1982-04-21,5153.475999999999,25831.285999999996,30984.761999999995
1982-04-22,5153.475999999999,26216.519999999997,31369.995999999996
1982-04-23,5153.475999999999,26659.968,31813.444
1982-04-26,5153.475999999999,26660.3,31813.775999999998
1982-04-27,5153.475999999999,26360.466,31513.942
1982-04-28,5153.475999999999,26097.542,31251.018
