dateBuyOrderPlaced,ticker,dateBuyOrderFilled,dateSellOrderPlaced,dateSellOrderFilled,units,buyOrderPrice,purchasePrice,sellOrderPrice,sellPrice,NetChange
1982-01-05,WMT,1982-01-05 00:00:00,1982-02-16 00:00:00,1982-02-16 00:00:00,13683.0,0.244,0.244,0.244,0.244,0.0
1982-01-05,LMT,1982-01-05 00:00:00,1982-02-16 00:00:00,1982-02-16 00:00:00,949.0,3.511,3.459,3.899,3.899,417.55999999999995
1982-01-05,PEP,1982-01-05 00:00:00,1982-02-16 00:00:00,1982-02-16 00:00:00,2206.0,1.511,1.513,1.459,1.429,-185.30399999999966
1982-01-05,MCD,1982-01-05 00:00:00,1982-02-16 00:00:00,1982-02-16 00:00:00,2719.0,1.226,1.211,1.142,1.126,-231.11500000000052
1982-01-05,JPM,1982-01-05 00:00:00,1982-02-16 00:00:00,1982-02-16 00:00:00,1228.0,2.714,2.708,2.66,2.636,-88.41600000000008
1982-01-05,PG,1982-01-05 00:00:00,1982-02-16 00:00:00,1982-02-16 00:00:00,1750.0,1.905,1.876,1.96,1.96,147.00000000000014
1982-01-05,MO,1982-01-05 00:00:00,1982-02-16 00:00:00,1982-02-16 00:00:00,24331.0,0.137,0.137,0.131,0.131,-145.98600000000013
1982-01-05,JNJ,1982-01-05 00:00:00,1982-02-16 00:00:00,1982-02-16 00:00:00,2785.0,1.197,1.165,1.234,1.226,169.88499999999985
1982-01-05,C,1982-01-05 00:00:00,1982-02-16 00:00:00,1982-02-16 00:00:00,250.0,13.315,13.012,10.972,10.875,-534.2500000000001
1982-02-17,WMT,1982-02-17 00:00:00,1982-03-30 00:00:00,1982-03-30 00:00:00,13889.0,0.24,0.244,0.252,0.252,111.1120000000001
1982-02-17,LMT,1982-02-17 00:00:00,1982-03-30 00:00:00,1982-03-30 00:00:00,856.0,3.895,3.937,3.563,3.563,-320.1439999999997
1982-02-17,PEP,1982-02-17 00:00:00,1982-03-30 00:00:00,1982-03-30 00:00:00,2328.0,1.432,1.436,1.482,1.498,144.33600000000013
1982-02-17,MCD,1982-02-17 00:00:00,1982-03-30 00:00:00,1982-03-30 00:00:00,2955.0,1.128,1.134,1.25,1.25,342.7800000000003
1982-02-17,PG,1982-02-17 00:00:00,1982-03-30 00:00:00,1982-03-30 00:00:00,1695.0,1.966,1.968,1.96,1.982,23.73000000000002
1982-02-17,MO,1982-02-17 00:00:00,1982-03-30 00:00:00,1982-03-30 00:00:00,25840.0,0.129,0.131,0.131,0.131,0.0
1982-02-17,JNJ,1982-02-17 00:00:00,1982-03-30 00:00:00,1982-03-30 00:00:00,2714.0,1.228,1.257,1.195,1.203,-146.55599999999953
1982-02-17,MRK,1982-02-17 00:00:00,1982-03-30 00:00:00,1982-03-30 00:00:00,3069.0,1.086,1.105,0.942,0.942,-500.2470000000001
1982-03-31,WMT,1982-03-31 00:00:00,1982-05-12 00:00:00,1982-05-12 00:00:00,13021.0,0.256,0.26,0.301,0.293,429.69299999999964
1982-03-31,LMT,1982-03-31 00:00:00,1982-05-12 00:00:00,1982-05-12 00:00:00,931.0,3.58,3.593,4.049,4.041,417.08800000000036
1982-03-31,PEP,1982-03-31 00:00:00,1982-05-12 00:00:00,1982-05-12 00:00:00,2225.0,1.498,1.506,1.606,1.606,222.5000000000002
1982-03-31,MCD,1982-03-31 00:00:00,1982-05-12 00:00:00,1982-05-12 00:00:00,2667.0,1.25,1.273,1.25,1.242,-82.67699999999978
1982-03-31,PG,1982-03-31 00:00:00,1982-05-12 00:00:00,1982-05-12 00:00:00,1681.0,1.983,1.975,2.036,2.021,77.3259999999997
1982-03-31,JNJ,1982-03-31 00:00:00,1982-05-12 00:00:00,1982-05-12 00:00:00,2771.0,1.203,1.203,1.334,1.35,407.33700000000005
1982-05-13,WMT,1982-05-13 00:00:00,1982-06-24 00:00:00,1982-06-24 00:00:00,11299.0,0.295,0.293,0.285,0.293,0.0
1982-05-13,LMT,1982-05-13 00:00:00,1982-06-24 00:00:00,1982-06-24 00:00:00,840.0,3.966,3.907,3.929,3.929,18.47999999999983
1982-05-13,PEP,1982-05-13 00:00:00,1982-06-24 00:00:00,1982-06-24 00:00:00,2078.0,1.604,1.606,1.591,1.591,-31.170000000000258
1982-05-13,MCD,1982-05-13 00:00:00,1982-06-24 00:00:00,1982-06-24 00:00:00,2693.0,1.238,1.25,1.35,1.342,247.75600000000023
1982-05-13,PG,1982-05-13 00:00:00,1982-06-24 00:00:00,1982-06-24 00:00:00,1651.0,2.019,2.006,1.982,1.975,-51.18099999999949
1982-05-13,MO,1982-05-13 00:00:00,1982-06-24 00:00:00,1982-06-24 00:00:00,22676.0,0.147,0.144,0.144,0.144,0.0
1982-05-13,JNJ,1982-05-13 00:00:00,1982-06-24 00:00:00,1982-06-24 00:00:00,2480.0,1.344,1.327,1.296,1.288,-96.71999999999981
1982-05-13,IBM,1982-05-13 00:00:00,1982-06-24 00:00:00,1982-06-24 00:00:00,271.0,12.297,12.295,11.737,11.694,-162.87099999999975
1982-05-13,BMY,1982-05-13 00:00:00,1982-06-24 00:00:00,1982-06-24 00:00:00,2442.0,1.365,1.352,1.398,1.383,75.7019999999998
1982-06-25,WMT,1982-06-25 00:00:00,1982-08-06 00:00:00,1982-08-06 00:00:00,11223.0,0.297,0.301,0.285,0.293,-89.78400000000008
1982-06-25,LMT,1982-06-25 00:00:00,1982-08-06 00:00:00,1982-08-06 00:00:00,850.0,3.92,3.914,4.235,4.235,272.85000000000014
1982-06-25,PEP,1982-06-25 00:00:00,1982-08-06 00:00:00,1982-08-06 00:00:00,2095.0,1.591,1.591,1.575,1.56,-64.94499999999982
1982-06-25,PG,1982-06-25 00:00:00,1982-08-06 00:00:00,1982-08-06 00:00:00,1688.0,1.975,1.968,2.006,1.991,38.824000000000225
1982-06-25,BMY,1982-06-25 00:00:00,1982-08-06 00:00:00,1982-08-06 00:00:00,2421.0,1.377,1.36,1.352,1.345,-36.3150000000003
1982-08-09,WMT,1982-08-09 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,11299.0,0.295,0.293,0.399,0.399,1197.6940000000004
1982-08-09,LMT,1982-08-09 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,798.0,4.176,4.116,5.274,5.274,924.0840000000003
1982-08-09,PEP,1982-08-09 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,2137.0,1.56,1.506,1.822,1.838,709.4840000000002
1982-08-09,MCD,1982-08-09 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,2527.0,1.319,1.311,1.604,1.597,722.7220000000001
1982-08-09,PG,1982-08-09 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,1688.0,1.975,1.953,2.326,2.326,629.624
1982-08-09,JNJ,1982-08-09 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,2564.0,1.3,1.28,1.504,1.496,553.824
1982-08-09,IBM,1982-08-09 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,273.0,12.195,12.08,14.239,14.239,589.4070000000002
1982-08-09,BMY,1982-08-09 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,2486.0,1.341,1.329,1.542,1.557,566.808
1982-08-09,GE,1982-08-09 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,3196.0,1.043,1.023,1.217,1.209,594.4560000000005
1982-09-21,WMT,1982-09-21 00:00:00,1982-11-01 00:00:00,1982-11-01 00:00:00,8460.0,0.394,0.39,0.455,0.455,549.9
1982-09-21,LMT,1982-09-21 00:00:00,1982-11-01 00:00:00,1982-11-01 00:00:00,634.0,5.257,5.274,5.842,5.842,360.11199999999974
1982-09-21,PEP,1982-09-21 00:00:00,1982-11-01 00:00:00,1982-11-01 00:00:00,1812.0,1.84,1.884,1.768,1.776,-195.69599999999977
1982-09-21,MCD,1982-09-21 00:00:00,1982-11-01 00:00:00,1982-11-01 00:00:00,2087.0,1.597,1.62,1.705,1.72,208.69999999999973
1982-09-21,PG,1982-09-21 00:00:00,1982-11-01 00:00:00,1982-11-01 00:00:00,1433.0,2.326,2.349,2.517,2.54,273.70299999999975
1982-09-21,JNJ,1982-09-21 00:00:00,1982-11-01 00:00:00,1982-11-01 00:00:00,2222.0,1.5,1.535,1.458,1.473,-137.76399999999964
1982-09-21,IBM,1982-09-21 00:00:00,1982-11-01 00:00:00,1982-11-01 00:00:00,234.0,14.26,14.548,15.342,15.458,212.94000000000003
1982-09-21,GE,1982-09-21 00:00:00,1982-11-01 00:00:00,1982-11-01 00:00:00,2757.0,1.209,1.225,1.38,1.387,446.6339999999998
1982-09-21,MMM,1982-09-21 00:00:00,1982-11-01 00:00:00,1982-11-01 00:00:00,934.0,3.567,3.672,4.009,4.017,322.2300000000002
1982-11-02,WMT,1982-11-02 00:00:00,1982-12-14 00:00:00,1982-12-14 00:00:00,7326.0,0.455,0.464,0.553,0.569,769.2299999999994
1982-11-02,LMT,1982-11-02 00:00:00,1982-12-14 00:00:00,1982-12-14 00:00:00,573.0,5.815,5.842,5.767,5.767,-42.974999999999596
1982-11-02,MCD,1982-11-02 00:00:00,1982-12-14 00:00:00,1982-12-14 00:00:00,1936.0,1.722,1.766,1.627,1.604,-313.63199999999983
1982-11-02,PG,1982-11-02 00:00:00,1982-12-14 00:00:00,1982-12-14 00:00:00,1310.0,2.545,2.662,2.738,2.768,138.85999999999984
1982-11-02,IBM,1982-11-02 00:00:00,1982-12-14 00:00:00,1982-12-14 00:00:00,215.0,15.509,15.798,18.027,17.933,459.025
1982-11-02,BMY,1982-11-02 00:00:00,1982-12-14 00:00:00,1982-12-14 00:00:00,1920.0,1.736,1.762,1.648,1.656,-203.52000000000018
1982-11-02,GE,1982-11-02 00:00:00,1982-12-14 00:00:00,1982-12-14 00:00:00,2393.0,1.393,1.426,1.512,1.519,222.54899999999992
1982-11-02,MMM,1982-11-02 00:00:00,1982-12-14 00:00:00,1982-12-14 00:00:00,828.0,4.025,4.09,3.953,4.001,-73.69199999999961
