StartDate,Duration,BuyHoldEndingValue,PriceMomentum_longHistory_365_shortHistory_90_ReEval_30_stockcount_2_filter2EndingValue,BuyHoldGain,PriceMomentum_longHistory_365_shortHistory_90_ReEval_30_stockcount_2_filter2Gain,Difference
1/2/1982,1.0,33759.22999999996,60377.26999999999,0.12530766666666526,1.0125756666666663,0.8872680000000011
1/2/1983,1.0,34969.119999999995,43128.893,0.1656373333333332,0.43762976666666664,0.27199243333333345
1/2/1984,1.0,30087.47999999999,19997.738000000005,0.0029159999999996966,-0.3334087333333332,-0.3363247333333329
1/2/1985,1.0,37614.09000000001,39035.49600000001,0.25380300000000044,0.3011832000000003,0.04738019999999987
1/2/1986,1.0,34288.77000000005,34839.18000000001,0.1429590000000016,0.16130600000000017,0.01834699999999856
1/2/1987,1.0,30533.499999999985,44342.40600000001,0.017783333333332818,0.4780802000000004,0.4602968666666676
1/2/1988,1.0,33802.479999999996,26210.404,0.12674933333333316,-0.12631986666666672,-0.2530691999999999
1/2/1989,1.0,37467.60999999999,34919.70800000001,0.2489203333333332,0.16399026666666705,-0.08493006666666614
1/2/1990,1.0,28111.900000000016,44974.928,-0.06293666666666609,0.4991642666666667,0.5621009333333328
1/2/1991,1.0,37711.64000000001,63357.241,0.2570546666666669,1.1119080333333335,0.8548533666666667
1/2/1992,1.0,31409.869999999988,41350.77200000001,0.046995666666666214,0.37835906666666697,0.33136340000000075
1/2/1993,1.0,32234.639999999996,39615.427999999985,0.07448799999999989,0.32051426666666627,0.24602626666666638
1/2/1994,1.0,29745.450000000004,26079.070999999993,-0.008484999999999854,-0.13069763333333362,-0.12221263333333376
1/2/1995,1.0,39529.58,46732.225,0.3176526666666668,0.5577408333333334,0.24008816666666655
1/2/1996,1.0,36365.92000000001,39272.41599999999,0.2121973333333338,0.3090805333333331,0.09688319999999928
1/2/1997,1.0,38599.11000000001,39509.06899999999,0.28663700000000025,0.3169689666666662,0.030331966666665933
1/2/1998,1.0,37845.0,28744.124999999993,0.26150000000000007,-0.04186250000000025,-0.3033625000000003
1/2/1999,1.0,34876.68000000001,91264.94,0.16255600000000014,2.042164666666667,1.8796086666666667
1/2/2000,1.0,27007.340000000004,23803.966999999997,-0.0997553333333332,-0.20653443333333343,-0.10677910000000024
1/2/2001,1.0,28156.01999999999,32661.924000000014,-0.061466000000000354,0.08873080000000044,0.1501968000000008
1/2/2002,1.0,23463.940000000002,25797.653000000002,-0.2178686666666666,-0.14007823333333325,0.07779043333333335
1/2/2003,1.0,37037.64000000003,51470.15100000001,0.2345880000000009,0.7156717000000004,0.48108369999999945
1/2/2004,1.0,32561.679999999982,30774.138000000003,0.08538933333333265,0.025804600000000066,-0.059584733333332585
1/2/2005,1.0,30770.94,49228.403,0.025698,0.6409467666666666,0.6152487666666666
1/2/2006,1.0,33260.38,44027.337,0.10867933333333335,0.4675779,0.35889856666666664
1/2/2007,1.0,31006.6,42257.835,0.033553333333333324,0.40859449999999997,0.37504116666666665
1/2/2008,1.0,19203.119999999995,20096.733999999997,-0.3598960000000001,-0.3301088666666667,0.029787133333333382
1/2/2009,1.0,36896.44000000003,41712.32900000001,0.22988133333333427,0.3904109666666671,0.1605296333333328
1/2/2010,1.0,33622.44,37060.89199999999,0.12074800000000008,0.2353630666666664,0.11461506666666632
1/2/2011,1.0,30011.44,30276.832000000002,0.0003813333333333446,0.009227733333333488,0.008846400000000143
1/2/2012,1.0,32757.260000000006,39112.071999999986,0.09190866666666686,0.3037357333333328,0.21182706666666595
1/2/2013,1.0,38393.39999999999,51632.848000000005,0.2797799999999995,0.7210949333333334,0.44131493333333394
1/2/2014,1.0,33154.66000000001,34533.241,0.10515533333333371,0.15110803333333345,0.045952699999999735
1/2/2015,1.0,30496.579999999987,44873.612000000016,0.016552666666666216,0.4957870666666673,0.47923440000000106
1/2/2016,1.0,32793.97999999999,45637.764,0.09313266666666631,0.5212588,0.4281261333333337
1/2/2017,1.0,34422.12,46246.21,0.1474040000000001,0.5415403333333333,0.3941363333333332
