dateBuyOrderPlaced,ticker,dateBuyOrderFilled,dateSellOrderPlaced,dateSellOrderFilled,units,buyOrderPrice,purchasePrice,sellOrderPrice,sellPrice,NetChange
1982-01-05,WMT,1982-01-05 00:00:00,1982-02-16 00:00:00,1982-02-16 00:00:00,24584.0,0.244,0.244,0.244,0.244,0.0
1982-01-05,LMT,1982-01-05 00:00:00,1982-02-16 00:00:00,1982-02-16 00:00:00,1709.0,3.511,3.459,3.899,3.899,751.9599999999999
1982-01-05,PEP,1982-01-05 00:00:00,1982-02-16 00:00:00,1982-02-16 00:00:00,3971.0,1.511,1.513,1.459,1.429,-333.5639999999994
1982-01-05,MCD,1982-01-05 00:00:00,1982-02-16 00:00:00,1982-02-16 00:00:00,4894.0,1.226,1.211,1.142,1.126,-415.9900000000009
1982-01-05,JPM,1982-01-05 00:00:00,1982-02-16 00:00:00,1982-02-16 00:00:00,2211.0,2.714,2.708,2.66,2.636,-159.19200000000015
1982-02-17,WMT,1982-02-17 00:00:00,1982-03-30 00:00:00,1982-03-30 00:00:00,25000.0,0.24,0.244,0.252,0.252,200.00000000000017
1982-02-17,LMT,1982-02-17 00:00:00,1982-03-30 00:00:00,1982-03-30 00:00:00,1540.0,3.895,3.937,3.563,3.563,-575.9599999999995
1982-02-17,PG,1982-02-17 00:00:00,1982-03-30 00:00:00,1982-03-30 00:00:00,3052.0,1.966,1.968,1.96,1.982,42.72800000000004
1982-02-17,JNJ,1982-02-17 00:00:00,1982-03-30 00:00:00,1982-03-30 00:00:00,4886.0,1.228,1.257,1.195,1.203,-263.84399999999914
1982-03-31,WMT,1982-03-31 00:00:00,1982-05-12 00:00:00,1982-05-12 00:00:00,23438.0,0.256,0.26,0.301,0.293,773.4539999999994
1982-03-31,LMT,1982-03-31 00:00:00,1982-05-12 00:00:00,1982-05-12 00:00:00,1676.0,3.58,3.593,4.049,4.041,750.8480000000006
1982-03-31,PG,1982-03-31 00:00:00,1982-05-12 00:00:00,1982-05-12 00:00:00,3026.0,1.983,1.975,2.036,2.021,139.19599999999946
1982-03-31,JNJ,1982-03-31 00:00:00,1982-05-12 00:00:00,1982-05-12 00:00:00,4988.0,1.203,1.203,1.334,1.35,733.2360000000001
1982-05-13,WMT,1982-05-13 00:00:00,1982-06-24 00:00:00,1982-06-24 00:00:00,20339.0,0.295,0.293,0.285,0.293,0.0
1982-05-13,LMT,1982-05-13 00:00:00,1982-06-24 00:00:00,1982-06-24 00:00:00,1513.0,3.966,3.907,3.929,3.929,33.285999999999696
1982-05-13,PEP,1982-05-13 00:00:00,1982-06-24 00:00:00,1982-06-24 00:00:00,3741.0,1.604,1.606,1.591,1.591,-56.115000000000464
1982-05-13,PG,1982-05-13 00:00:00,1982-06-24 00:00:00,1982-06-24 00:00:00,2972.0,2.019,2.006,1.982,1.975,-92.1319999999991
1982-05-13,JNJ,1982-05-13 00:00:00,1982-06-24 00:00:00,1982-06-24 00:00:00,4464.0,1.344,1.327,1.296,1.288,-174.09599999999966
1982-06-25,WMT,1982-06-25 00:00:00,1982-08-06 00:00:00,1982-08-06 00:00:00,20202.0,0.297,0.301,0.285,0.293,-161.61600000000016
1982-06-25,LMT,1982-06-25 00:00:00,1982-08-06 00:00:00,1982-08-06 00:00:00,1531.0,3.92,3.914,4.235,4.235,491.45100000000025
1982-06-25,PEP,1982-06-25 00:00:00,1982-08-06 00:00:00,1982-08-06 00:00:00,3771.0,1.591,1.591,1.575,1.56,-116.90099999999968
1982-06-25,PG,1982-06-25 00:00:00,1982-08-06 00:00:00,1982-08-06 00:00:00,3038.0,1.975,1.968,2.006,1.991,69.8740000000004
1982-06-25,BMY,1982-06-25 00:00:00,1982-08-06 00:00:00,1982-08-06 00:00:00,4357.0,1.377,1.36,1.352,1.345,-65.35500000000054
1982-08-09,WMT,1982-08-09 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,20339.0,0.295,0.293,0.399,0.399,2155.9340000000007
1982-08-09,LMT,1982-08-09 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,1437.0,4.176,4.116,5.274,5.274,1664.0460000000005
